Param Name,Set 0,Set 1,Set 2,Set 3,Set 4,Set 5,Set 6,Set 7,Set 8
ET_Res_ratio,0.30,0.25,0.70,0.70,0.70,0.20,0.60,0.60,0.50
K2drag,5.6,6.0,3.0,3.0,6.0,2.0,10.0,-3.0,-8.0
Kdrag,2.11,1.00,0.50,0.50,4.00,0.80,6.50,3.00,8.00
Lmax,0.70,0.43,0.70,0.70,0.55,0.45,0.55,0.55,0.54
PBA_static,118600,112000,112800,112800,112800,112000,105000,97500,105000
PHalt_dyn,116000,110000,111800,111800,111800,109800,108844,80000,100000
Psource_SIu,122020,117500,147000,147000,147000,120000,116000,116000,117000
Rsource_SIu,1.60E+08,1.30E+08,1.75E+08,1.75E+08,1.75E+08,1.40E+08,9.00E+07,9.00E+07,9.00E+07
Tau_coulomb,0.003222,0.002000,0.000200,0.000200,0.000200,0.002000,0.003222,0.003222,0.003222
,,,,,,,,,
dt,0.000250,0.000250,0.000250,0.000250,0.000250,0.000250,0.000250,0.000250,0.000250
et_MPM,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
rReel,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Vhousing_m3,0.00126,0.00126,0.00126,0.00126,0.00126,0.00126,0.00126,0.00126,0.00126
COMP1,supply_tubing,supply_tubing,supply_tubing,supply_tubing,supply_tubing,supply_tubing,supply_tubing,supply_tubing,supply_tubing
Compartments,2,2,2,2,2,2,2,2,2
DataFile,eb610645,15g42423,0ddc3bfa,5d0f0862,4bf58872,c4f507b1,891a0abc,e50137ee,52f8bea7
T,295.4,295.4,295.4,295.4,295.4,295.4,295.4,295.4,295.4
RT,2456,2456,2456,2456,2456,2456,2456,2456,2456
Patmosphere,101320,101320,101320,101320,101320,101320,101320,101320,101320
ET_Res_per_m,0.000120,0.000120,0.000120,0.000120,0.000120,0.000120,0.000120,0.000120,0.000120
ET_RofL_mode,constant,constant,constant,constant,constant,constant,constant,constant,constant
Threshold Taper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
